GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.common,ThreadLocalIndex,0,60,0,2,0,11,0,4,0,3
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.common,ClientErrorCode,3,0,0,0,1,0,1,0,1,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullMessageService,99,115,9,5,28,32,11,8,5,7
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ProcessQueue,294,594,28,36,73,145,30,35,11,22
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopConcurrentlyService.ConsumeRequest,434,0,42,0,86,0,27,0,6,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.MessageQueueListenerImpl,0,39,1,2,0,10,1,3,0,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopConcurrentlyService,557,54,44,0,121,13,37,3,14,3
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceLitePullImpl,56,178,2,20,20,53,7,19,5,9
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopOrderlyService.ConsumeRequest,149,0,22,0,42,0,19,0,8,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceImpl,1264,778,160,65,296,181,104,40,8,23
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.ConsumeRequest,0,24,0,0,0,8,0,4,0,4
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,AssignedMessageQueue.MessageQueueState,11,55,0,0,5,21,3,10,3,10
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService,323,308,32,15,77,63,28,14,7,10
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.1.new Runnable() {...},57,0,0,0,10,0,2,0,2,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PopProcessQueue,99,0,2,0,23,0,14,0,13,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePullImpl,59,18,2,0,21,5,13,2,12,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},9,29,1,1,1,5,1,2,0,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceService,0,53,0,2,0,13,0,5,0,4
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},0,22,0,0,0,3,0,2,0,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopOrderlyService,460,97,45,2,112,22,43,4,18,4
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopConcurrentlyService.new Runnable() {...},25,0,0,0,3,0,2,0,2,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopConcurrentlyService.new Runnable() {...},17,0,0,0,3,0,2,0,2,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopConcurrentlyService.new AckCallback() {...},19,0,0,0,4,0,3,0,3,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopOrderlyService.new Runnable() {...},16,0,0,0,3,0,2,0,2,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessagePopOrderlyService.new Runnable() {...},0,10,0,0,0,3,0,2,0,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService.ConsumeRequest,56,254,8,22,11,56,8,12,0,5
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl,449,1515,96,125,111,368,85,101,10,64
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullResultExt,0,42,0,0,0,12,0,6,0,6
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,MessageQueueLock,4,59,2,6,2,14,2,5,0,3
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl,210,286,23,29,52,67,22,23,7,11
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.new ThreadFactory() {...},0,12,0,0,0,2,0,2,0,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.new Runnable() {...},7,11,0,0,2,4,0,2,0,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,AssignedMessageQueue,85,265,25,23,26,68,21,21,1,17
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.SubscriptionType,0,34,0,0,0,2,0,1,0,1
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullRequest,85,65,22,0,23,19,13,13,2,13
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},5,11,0,0,2,4,0,2,0,2
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPullConsumerImpl,1022,535,87,33,218,132,105,24,43,24
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.PullTaskImpl,146,385,11,38,18,69,12,19,1,5
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PopRequest,189,0,30,0,52,0,32,0,17,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.new PopCallback() {...},176,0,14,0,33,0,11,0,3,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl.new Runnable() {...},25,0,0,0,4,0,2,0,2,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.new AckCallback() {...},35,0,4,0,6,0,5,0,3,0
rocketmq-client 5.0.0-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.new PullCallback() {...},78,163,10,8,16,27,10,3,1,2
