GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,TopicConfig,255,381,24,14,47,86,26,23,8,22
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,BrokerIdentity,159,72,8,0,36,23,12,10,8,10
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,BrokerAddrInfo,137,0,22,0,25,0,18,0,7,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,PlainAccessConfig,59,0,0,0,25,0,17,0,17,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,KeyBuilder,62,0,2,0,7,0,6,0,5,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,BrokerConfigSingleton,30,0,4,0,9,0,6,0,4,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,PopAckConstants,19,0,0,0,5,0,3,0,3,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,CountDownLatch2.Sync,1,46,1,7,1,14,1,8,0,5
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,AclConfig,17,0,0,0,7,0,5,0,5,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,ServiceThread,16,286,5,17,8,64,6,20,1,14
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,MQVersion.Version,0,6134,0,0,0,614,0,1,0,1
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,Pair,23,0,0,0,10,0,5,0,5,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,TopicAttributes,3,44,0,0,1,9,1,1,1,1
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,ServiceState,44,0,0,0,5,0,1,0,1,0
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,CountDownLatch2,0,60,0,2,0,14,0,8,0,7
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,ThreadFactoryImpl,38,42,4,0,8,10,4,3,2,3
rocketmq-common 5.0.0-SNAPSHOT,org.apache.rocketmq.common,MixAll,444,503,69,57,99,122,62,31,14,16
